field_0,dust,type,project,description,installs,links
1109,1041,RFP,fuse-google-drive,A fuse filesystem wrapper for Google Drive.,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=714973
1110,539,RFP,fuseloop,loopback mount using FUSE,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=735177
1111,745,O,fusesmb,filesystem client based on the SMB file transfer protocol,835,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=543821
1112,502,O,fuzzyocr,spamassassin plugin to check image,93,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=674835
1113,1183,O,fwanalog,firewall log-file report generator (using analog),48,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=785776
1114,502,O,fwknop,FireWall KNock OPerator - developpement,179,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=831273
1115,498,O,fwsnort,Snort-to-iptables rule translator,48,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=831274
1116,273,RFP,fwupdate-signed,Linux Firmware Updater EFI signed binary,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=820124
1117,1479,RFP,fx2pipe,Pipe data in or out of an Cypress FX2 device,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=508553
1118,288,O,g-wrap,scripting interface generator for C,40,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=880433
1119,962,RFP,gadgetron,an open source framework for medical image reconstruction,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=732361
1120,1890,O,gadmin-bind,GTK+ configuration tool for bind9,236,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=605299
1121,1890,O,gadmin-openvpn-c[..],GTK+ configuration tool for,621,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=605301
1122,1890,O,gadmin-openvpn-s[..],GTK+ configuration tool for,322,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=605302
1123,1655,O,gadmin-samba,GTK+ configuration tool for samba,817,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=605306
1124,1890,O,gadmintools-meta,GTK+ server administration tool,210,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=605308
1125,1499,O,gaduhistory,EKG history viewer,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=745317
1126,1690,O,gaffitter,File subsets extractor based on genetic algorithms,20,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=733530
1127,769,O,gaim-themes,Smiley themes collection for pidgin,6,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=830285
1128,713,RFP,gajim-otr,Off-The-Record encryption for Gajim,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=722130
1129,962,RFP,gala,Pantheon Window Manager,81,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=750822
1130,1657,RFA,galax,XQuery implementation with static typing,35,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=636019
1131,1440,O,galib,C++ Library of Genetic Algorithm Components,477,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=674871
1132,165,RFP,galleria,Responsive JavaScript Image Gallery,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=891975
1133,399,RFP,gambatte,Game Boy and Game Boy Color emulator,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=787147
1134,399,RFP,gambatte,Game Boy and Game Boy Color emulator,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=787146
1135,856,RFP,gamera-psaltiki,Psaltic Byzantine chant notation addon for Gamera (docum[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=820372
1136,175,RFP,ganeti-instance-[..],guest OS definition for Ganetiusing images,15,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=769611
1137,523,RFP,ganttproject,Gantt chart based project,330,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=436792
1138,823,O,ganv,interactive Gtk canvas widget for graph-based interfaces,343,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=814941
1139,962,RFP,garrymander,Comand line client and python modules for interacting wi[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=748324
1140,617,O,gartoon,Gartoon icon theme for GTK+ 2.x,850,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=847269
1141,1353,RFP,gateone,HTML5 web-based terminal emulator and ssh client,9,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=692529
1142,704,RFP,gawkextlib,Dynamically loaded extension libraries for GNU Awk,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=837336
1143,671,O,gcap,YouTube closed caption retriever,56,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=840659
1144,534,O,gcc-m68hc1x,GNU C compiler for the Motorola 68HC11/12 processors,104,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=739226
1145,1387,RFP,gccgo-go,Go tool for use with gccgo,32,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=765841
1146,697,RFP,gccintro-es,Spanish Introduction to GCC by Brian J. Gough,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=802494
1147,355,RFP,gdb-exploitable,GDB extension for classification of bugs,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=869172
1148,512,RFP,gdb-heap,gdb extension to debug dynamic memory allocation problems,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=699175
1149,1613,O,gdome2,DOM level2 library for accessing XML files,2511,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=698981
1150,204,RFP,geany-themes,collection of color schemes for the Geany IDE/editor,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=745391
1151,508,O,gearmand,Distributed job queue,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=775822
1152,1137,RFP,gede,Graphical frontend to GDB,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=791448
1153,1824,RFP,gedit-classbrowser3g,Class Browser for gedit,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=672484
1154,1658,RFP,gedit-code-assis[..],a gedit plugin providing code assistance support from gn[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=733056
1155,697,RFP,gedit-rest-plugin,reStructuredText Plugin for gedit,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=826540
1156,962,RFP,gedraa-dsh,Data mine Internet catalogs to find double starts candid[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=743669
1157,174,RFP,gedraa-dsh,Data mine Internet catalogs to find double starts candid[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=743949
1158,962,RFP,gedraa-duplex,double star observers a tool to make easier a basic astr[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=743723
1159,502,RFP,geierlein,Elster client to submit VAT declarations to Germany's fi[..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=695204
1160,85,O,geis,Gesture engine interface support,167,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=899325
1161,108,RFA,geiser,enhanced Scheme interaction mode for Emacs,39,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=897140
1162,382,RFP,gendev,Sega Genesis development environment for Linux,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=870114
1163,55,RFP,genealogy-data.u[..],genealogy data from US Census 1990,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=858093
1164,819,RFP,geneva,high performance parallel optimization library,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=783843
1165,647,O,gengetopt,skeleton main.c generator,236,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=842941
1166,1820,RFP,genivi-audio-manager,Low level audio manager controller,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=688627
1167,514,RFP,genivi-dlt,Diagnostic Log and Trace,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=688586
1168,1820,RFP,genivi-layer-man[..],Applications in an automobile are often stand-alone impl[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=688629
1169,503,RFP,genmkfile,Generic Makefile,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=859121
1170,740,RFP,gens-gs,Sega Genesis / Sega CD / Sega 32X emulator,9,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=533715
1171,133,RFP,geoapi,Set of Java interfaces for geospatial applications,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=812563
1172,19,O,geotranz,GEOgraphic coordinates TRANslator,91,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=904747
1173,1793,RFP,gephi,The Open Graph Viz Platform,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=650636
1174,41,RFP,gephi,visualization and exploration software for all kinds of [..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=903023
1175,1479,RFP,gerbil,novel interactive visualization and analysis framework f[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=706628
1176,1479,RFP,gerbmerge,A Gerber-file merging program,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=536636
1177,1125,RFP,geronimo-atinjec[..],Geronimo API implementation of the AtInject 1.0 spec,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=792686
1178,1125,RFP,geronimo-interce[..],Geronimo API implementation of the Interceptor 1.1 spec,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=792683
1179,1353,RFP,geronimo-j2ee-de[..],Geronimo API implementation of the J2EE deployment 1.1 spec,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=721609
1180,1125,RFP,geronimo-jcdi-1.[..],Geronimo API implementation of the JCDI 1.0 spec,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=792691
1181,368,RFP,geronimo-servlet[..],Geronimo API implementation of the Servlet 3.0 spec,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=823779
1182,513,RFP,gerrit,Web based code review and project management for Git bas[..],8,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=589436
1183,119,O,geshi,Generic Syntax Highlighter,1127,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=895843
1184,977,RFP,gestioip,Web-based IP address management software,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=755114
1185,633,RFP,gestioip,Web-based IP address management software,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=742110
1186,1581,O,getstream,DVB streaming application,90,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=744999
1187,724,O,gexec,Small command executer with autocompletion using GTK+,61,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=834986
1188,624,O,gftp,X/GTK+ and console FTP client (metapackage),1180,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=846284
1189,943,O,gfxboot,tool to test and create graphical boot logos,118,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=756089
1190,162,RFP,ghost,platform for building and running online publications,7,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=892150
1191,3005,RFP,gibak,A better backup system based on Git,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=470206
1192,624,RFP,gibak,A better backup system based on Git,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=484717
1193,208,RFP,gibbon,"A GTK+ client for the First Internet Backgammon Server, FIBS",1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=840978
1194,483,O,giflib,library for GIF images,81043,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=834410
1195,1648,O,giftrans,Convert any GIF file into a GIF89a,111,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=738293
1196,573,O,giggle,GTK+ frontend for the git directory tracker,677,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=851836
1197,962,O,gimp-dcraw,GIMP plug-in for loading RAW digital photos,709,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=745614
1198,103,O,gimp-dds,DDS (DirectDraw Surface) plugin for GIMP,657,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=897290
1199,539,RFP,gimp-qmlexporter,GIMP plugin to export layers and Text as QT-Quick (QML),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=692860
1200,1643,O,gimp-texturize,generates large textures from a small sample,1132,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=738993
1201,598,RFP,girl,GNOME Internet Radio Locator,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=849324
1202,79,RFP,gismo,Geometry plus Simulation modules,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=900278
1203,440,RFP,git-arr,git repository browser that can generate static HTML,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=816036
1204,98,RFP,git-lab,"making it simple to clone, fork, and interact with repos[..]",1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=898246
1205,379,RFP,git-latexdiff,Call latexdiff on two Git revisions of a file.,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=870405
1206,213,RFP,git-repo,CLI utility to manage git services from your workspace,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=840371
1207,41,O,git2cl,simple tool to convert git logs to GNU ChangeLog format,99,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=851816
1208,193,O,gitgraph.js,convert git log --graph to image with HTML5 canvas,14,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=889499
1209,962,RFP,github-backup-utils,Backup and recovery utilities for GitHub Enterprise,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=766586
1210,826,RFP,github-changelog[..],"Automatically generate change log from your tags, issues[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=824044
1211,181,RFP,github-golang-ce[..],File copying for Go,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=860431
1212,548,RFP,github-release,Command line app to create and edit releases on Github ([..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=855006
1213,1353,RFP,gitignore-boiler[..],shell script for easily accessing gitignore boilerplate,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=697429
1214,513,RFP,gitignorer,A simple utility that aids in the creation of .gitignore[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=727676
1215,666,RFP,gitlab-linguist,GitLab Language detection,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=792526
1216,226,RFP,gitlab-webhook-xmpp,multi-user chat notifications about GitLab events,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=886030
1217,1534,RFP,gitlist,An elegant and modern git repository viewer,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=750368
1218,1270,RFP,gitolite3-doc,gitolite3-doc,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=778957
1219,1258,RFP,gitorious,distributed code collaboration tool,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=527162
1220,645,RFP,gitprep,Git repository management application,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=733089
1221,106,O,gitstats,statistics generator for git repositories,382,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=897291
1222,1613,RFP,giver,GUI-based simple file sharing desktop application for sy[..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=741871
1223,567,O,gkdebconf,Helper to reconfigure packages with Debconf,147,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=852526
1224,711,O,gkermit,A serial and network communications package,175,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=836483
1225,2699,O,gkrellmitime,Internet time plugin for gkrellm,94,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=619743
1226,83,O,gkremldk,mldonkey plugin for gkrellm2,43,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=899425
1227,677,O,gl-117,An action flight simulator,322,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=668914
1228,1820,RFP,glade2script,,66,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=658283
1229,640,RFP,glamour,beautiful 2D game with princesses for young girls,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=740904
1230,721,O,glaurung,"free UCI chess engine, to calculate chess moves",283,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=835306
1231,2576,O,glfer,program for reception and transmission of,36,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=553655
1232,2340,O,glhack,Fullscreen SDL/OpenGL version of NetHack,133,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=607323
1233,631,O,glob2,innovative Real Time Strategy game,248,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=845283
1234,1613,RFP,global6,new generation of GNU GLOBAL,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=736099
1235,962,RFP,globalplatform,library to handle communication with GlobalPlatform cards,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=656665
1236,35,RFP,gloo/0.5.0,Collective communications library for machine learning,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=889950
1237,1824,RFP,gloss,Pygame OpenGL wrapper,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=677860
1238,140,RFP,glshim,Shim that translates OpenGL 1.x into OpenGL ES.,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=837068
1239,640,RFP,glsof,Two graphical frontends to lsof (Filemonitor and Queries),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=844253
1240,447,RFA,gluas,Lua environment plug-in for GIMP,401,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=863327
1241,593,RFP,gluco-control,Diabetes management application,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=849320
1242,186,RFP,glue-vispy-viewers,Glue VisPy plugin,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=843488
1243,1185,RFA,gluegen2,Tool to automatically generate the Java,3936,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=783519
1244,574,RFP,glui,GLUT-based C++ user interface library which provides con[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=801858
1245,357,RFP,gly,Flexible Gregorian notation format compiling to canonica[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=824820
1246,1479,RFP,gm-assistant,Game Master assistant for role-playing games,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=662985
1247,1267,RFP,gmastermind.app,GNUstep clone of Mastermind (TM),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=754357
1248,204,RFP,gmat,"Spacecraft mission analysis, desing and simulation",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=841433
1249,303,O,gmediaserver,UPnP Mediaserver,110,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=878730
1250,1201,RFA,gmetadom,GDome2 DOM implementation,504,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=784033
1251,407,RFP,gmilk,GTK tray icon for Remember the Milk,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=819637
1252,1095,O,gmlive,live video frontend for mplayer,67,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=795670
1253,4324,RFA,gmod,Module player for Ultrasound and SB AWE soundcards,7,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=141693
1254,1710,O,gmorgan,MIDI rhythm station emulator software,66,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=731792
